datetime,price,rsi,macd,macd_signal,adx,bb_upper,bb_lower,sma14,sma28
2024-11-12 19:00:00,331.69500732421875,48.87763261121529,1.6637683197744764,4.81781903776926,29.971070802000327,362.1306944501882,276.2753702645161,338.1643284388951,338.0373229980469
2024-11-12 19:30:00,331.6300964355469,48.809324114999086,1.2898191990230998,4.112219070020028,28.125452883070224,362.164240845681,277.828791337285,337.1786215645926,338.28196607317244
2024-11-12 20:00:00,328.3399963378906,45.349801367084474,0.7196821969230882,3.43371169540064,26.829652246086884,362.08966323336176,279.3001541407315,336.05607169015065,338.34018053327287
2024-11-12 20:30:00,328.2300109863281,45.23437834459634,0.2560183957579625,2.7981730354721046,25.833908882882135,361.8753055283229,280.9723692502067,334.7321581159319,338.5308946881975
2024-11-13 14:30:00,336.7799072265625,54.85379950723385,0.5718744522341694,2.3529133188245175,25.258754672088113,361.91507851259604,282.68061044352845,333.7433515276228,339.1641518729074
2024-11-13 15:00:00,331.0150146484375,48.64897287359445,0.35294546515302727,1.9529197480902196,23.67364736617131,361.68903867302424,284.41111456881447,333.0815669468471,339.51254490443637
2024-11-13 15:30:00,324.8599853515625,43.04987088100331,-0.31360175313875516,1.4996154478444248,22.12333224225774,361.2069915271116,286.1861969494509,332.02865818568637,338.7971867152623
2024-11-13 16:00:00,328.9020080566406,47.336425337341794,-0.5098109903908608,1.0977301601973677,20.953918411287777,360.7262187369848,288.11096998371835,331.1644592285156,338.2249080113002
2024-11-13 16:30:00,331.1199951171875,49.579114298745836,-0.48079292368851156,0.7820255434201918,19.517892849606877,360.3609909163043,289.8967082326913,330.5013667515346,337.5791974748884
2024-11-13 17:00:00,331.760009765625,50.237643800331654,-0.40152354991602124,0.5453157247529492,18.377836332515628,360.1872429820319,291.31724201203895,330.1508592878069,336.68514033726285
2024-11-13 17:30:00,329.7499084472656,48.11227933394531,-0.4951921109615114,0.3372141576100571,17.227788094444435,359.93059898985274,292.7188434103984,329.93870980399,336.10978044782365
2024-11-13 18:00:00,330.2799987792969,48.7283044949449,-0.5206495370206881,0.16564141868390803,16.159886159092615,359.62387749098826,294.19110097232084,330.0844247000558,335.60620880126953
2024-11-13 18:30:00,329.7049865722656,48.06173540594134,-0.5805314054396717,0.016406853859192078,15.329159430924458,359.3000573734116,295.6119026834383,330.4154946463449,335.1724613734654
2024-11-13 19:00:00,327.0953063964844,45.0497610696174,-0.8290112718651699,-0.1526767712856803,14.61266664595654,358.84405967065715,297.08576842818496,330.083016531808,334.6887217930385
2024-11-13 19:30:00,326.06719970703125,43.88299534005499,-1.0962560168344453,-0.34139262039543333,14.278387458121559,358.319429739696,298.5842306258174,329.6810302734375,333.92267935616627
2024-11-13 20:00:00,329.0,48.01885685149163,-1.0591872777920344,-0.4849515518747536,13.643590558512173,357.6537113131959,300.3970950048147,329.493166242327,333.3358939034598
2024-11-13 20:30:00,330.19000244140625,49.640672450921315,-0.9231453384552992,-0.5725903091908627,12.888766162261462,356.9835596328919,302.21438936787536,329.6253095354353,332.84069061279297
2024-11-14 14:30:00,320.92999267578125,39.3517860674938,-1.5447298363642972,-0.7670182146255496,12.976971480687185,356.12000014649834,303.9112629324637,329.1038796561105,331.91801888602123
2024-11-14 15:00:00,319.42498779296875,37.97416401876368,-2.1341798486100743,-1.0404505414224547,13.652276264833574,355.20748499230837,305.5903883684617,327.86424255371094,330.80379704066684
2024-11-14 15:30:00,317.95001220703125,36.62106910498477,-2.689340391001565,-1.3702285113382768,14.279344992969506,354.19423774532515,307.3314329874455,326.9310280936105,330.00629752022877
2024-11-14 16:00:00,320.2605895996094,40.21486669326362,-2.9093279140826667,-1.678048391887155,14.865779069974083,352.9443347095017,309.4209999375408,326.60249982561385,329.31557900565014
2024-11-14 16:30:00,322.91009521484375,44.127219371372014,-2.8371715037248464,-1.9098730142546931,14.805389203819457,352.44994072682965,310.43039766951523,326.1745060511998,328.6694826398577
2024-11-14 17:00:00,318.9059143066406,39.879745613522495,-3.067728103629122,-2.141444032129579,15.057129428798882,352.30772180218975,310.72854179993084,325.3020717075893,327.90171922956193
2024-11-14 17:30:00,317.840087890625,38.808933385071406,-3.2984269418273584,-2.372840614069135,15.68276825135913,352.1437935116505,311.04997676074066,324.3077915736607,327.2293254307338
2024-11-14 18:00:00,314.58990478515625,35.664095991199545,-3.7008588497770347,-2.638444261210715,16.31471597885868,352.25524314854334,310.82638047380595,323.22493416922435,326.58182198660717
2024-11-14 18:30:00,312.19061279296875,33.50563455074395,-4.165375986723745,-2.943830606313321,17.29739937616335,352.4756705227159,310.4006177550463,321.9328351702009,326.00862993512834
2024-11-14 19:00:00,313.02740478515625,34.9835694073973,-4.415092604764197,-3.2380830060034964,18.3840909153266,352.6336051210762,310.09009090640706,320.7415793282645,325.5785369873047
2024-11-14 19:30:00,313.8599853515625,36.4959643244025,-4.494008398731978,-3.489268084549193,19.061376107715514,352.7551951485647,309.84334284146036,319.7961992536272,324.9396078927176
2024-11-14 20:00:00,316.0497131347656,40.42134112553733,-4.329944101913043,-3.657403288021963,19.2747312526991,352.8771381654954,309.54103221850295,319.0806644984654,324.3808473859514
2024-11-14 20:30:00,311.17999267578125,35.209005518755305,-4.540527335014701,-3.8340280974205108,19.67951093730141,353.21416833339634,308.7182842771645,317.8078068324498,323.6504865373884
2024-11-15 14:30:00,318.2300109863281,46.054467019354995,-4.09137567423852,-3.8854976127841128,19.01256912588405,353.29082416755944,308.3387719976889,316.9535217285156,323.28941563197543
2024-11-15 15:00:00,314.2898864746094,41.83923476863027,-4.007162787964319,-3.9098306478201543,18.26007800636755,353.4668537415682,307.8555949889006,316.4792284284319,322.79155404227123
2024-11-15 15:30:00,316.0899963378906,44.34548206684372,-3.751919850502304,-3.8782484883565846,17.5613362525308,353.5347755951064,307.682004931191,316.2410147530692,322.05262865339006
2024-11-15 16:00:00,322.3299865722656,52.057745332225046,-3.011409269970841,-3.7048806446794362,16.523550353425147,353.524451448456,307.73054253522145,316.55387006487166,321.74244907924106
2024-11-15 16:30:00,320.3949890136719,49.75523596423876,-2.5512778879611346,-3.474160093335776,16.0373521901925,352.9157128568472,307.4644587827314,316.56347002301897,321.5829849243164
